,ID,Drug,Resistant,Lineage
430,TSVC_variants_IonXpress_017 (2),rif,0,
482,Sample No 3211379_IonXpress_021,rif,0,
1431,Serialsamples.XD00428048.dedup_reads.bam.indelqualed_reads.bam.vars,rif,0,
10258,BORA_4,rif,0,
10271,BORA_6,rif,0,
14808,BORA_37,rif,0,
30993,Sample No 321528_IonXpress_018,rif,0,
31357,Sample No 321262_ionXpress_017,rif,0,
36115,TB-444-80-19_S256_R.all,rif,0,
38052,Sample No 3211380_IonXpress_022,rif,0,
40496,TSVC_variants_IonXpress_001,rif,0,
53938,Sample No 3211198_IonXpress_020,rif,0,
54835,BORA_14,rif,0,
54861,BORA_15,rif,0,
55082,Sample No 321769_IonXpress_019,rif,0,
55095,Sample No 3212401_IonXpress_023,rif,0,
55108,Sample No 3213465_IonXpress_024,rif,0,
58319,TSVC_variants_IonXpress_017 (3),rif,0,
58475,BORA_27,rif,0,
58488,BORA_24,rif,0,
78820,TB-111-18660-18-138_S11_R.all,rif,0,
78911,TB-MoldovaSeq-DNA0272-3051_S82_ndc,rif,0,
78950,TB-MoldovaSeq-DNA0256-4412_S66_ndc,rif,0,
78989,TB-MoldovaSeq-DNA0330-5305_S333_ndc,rif,0,
79028,TB-MoldovaSeq-DNA0310-3312_S313_ndc,rif,0,
79132,TB-MoldovaSeq-DNA0295-1229_S298_ndc,rif,0,
79184,TB-111-19690-18_S174_R.all,rif,0,
79275,TB-111-17928-19_S69_R.all,rif,0,
79288,TB-111-16595-18-138_S100_R.all,rif,0,
79301,TB-111-20412-18_S17_R.all,rif,0,
79327,TB-111-16594-18_S127_R.all,rif,0,
79340,TB-MoldovaSeq-DNA0194-2350_S4_ndc,rif,0,
79379,TB-111-19680-19_S148_R.all,rif,0,
79431,TB-MoldovaSeq-DNA0196-1878_S6_ndc,rif,0,
79470,TB-111-16603-18_S112_R.all,rif,0,
79509,TB-MoldovaSeq-DNA0316-4135_S319_ndc,rif,0,
85034,BORA_38,rif,0,
85047,BORA_26,rif,0,
85060,BORA_23,rif,0,
85073,BORA_22,rif,0,
85138,BORA_21,rif,0,
85164,BORA_28,rif,0,
85177,BORA_29,rif,0,
1119,Serialsamples.XD00998454.dedup_reads.bam.indelqualed_reads.bam.vars,rif,1,
1197,Serialsamples.XD00946217.dedup_reads.bam.indelqualed_reads.bam.vars,rif,1,
1236,Serialsamples.XD00944188.dedup_reads.bam.indelqualed_reads.bam.vars,rif,1,
1262,Serialsamples.XD00922398.dedup_reads.bam.indelqualed_reads.bam.vars,rif,1,
1275,Serialsamples.XD00934751.dedup_reads.bam.indelqualed_reads.bam.vars,rif,1,
1288,Serialsamples.XD00481853.dedup_reads.bam.indelqualed_reads.bam.vars,rif,1,
1457,Serialsamples.XD00912003.dedup_reads.bam.indelqualed_reads.bam.vars,rif,1,
15445,8-2018 QC_IonXpress_028,rif,1,
36102,TB-444-213-19_S94_R.all,rif,1,
39469,BORA_16,rif,1,
54848,BORA_18,rif,1,
78833,TB-MoldovaSeq-DNA005-516_S5_ndc,rif,1,
78885,TB-MoldovaSeq-DNA0294-4695_S297_ndc,rif,1,
78963,TB-MoldovaSeq-DNA093-887_S93_ndc,rif,1,
79080,TB-111-17827-18_S136_R.all,rif,1,
79158,TB-MoldovaSeq-DNA0299-4999_S302_ndc,rif,1,
79223,TB-MoldovaSeq-DNA0223-2292_S33_ndc,rif,1,
79262,TB-111-19597-18_S76_R.all,rif,1,
79353,TB-MoldovaSeq-DNA026-12_S26_ndc,rif,1,
79405,TB-MoldovaSeq-DNA057-674_S57_ndc,rif,1,
79418,TB-MoldovaSeq-DNA0284-4250_S94_ndc,rif,1,
79457,TB-MoldovaSeq-DNA0292-4416_S295_ndc,rif,1,
79483,TB-MoldovaSeq-DNA0241-2352_S51_ndc,rif,1,
79522,TB-111-16652-18_S134_R.all,rif,1,
85099,BORA_30,rif,1,
86711,TB-MoldovaSeq-DNA173-2332_S174_ndc,rif,1,
14626,rename_mycobacterium_tuberculosis_m1418.0.variants,rif,0,1
62284,1733.9086_res,rif,1,1.1
62245,1733.8986_res,rif,1,1.1.1
62973,1733.8968_res,rif,1,1.1.1
64728,1733.8960_res,rif,1,1.1.1
32332,1354155.3_sus,rif,0,"1.1.1,4.9"
34152,1733.11037_sus,rif,0,1.1.1.1
55498,1733.10238_sus,rif,0,1.1.1.1
80874,1479144813357T181915lib5024nextseqn0036151bp,rif,1,1.1.1.1
85450,Test1270,rif,0,1.1.1.1.1
85476,Test1240,rif,0,1.1.1.1.1
85554,Test1265,rif,0,1.1.1.1.1
85658,Test1245,rif,0,1.1.1.1.1
86516,Test1239,rif,0,1.1.1.1.1
91521,Test1042,rif,0,1.1.1.1.1
91560,Test1039,rif,0,1.1.1.1.1
91586,Test1079,rif,0,1.1.1.1.1
91625,Test1032,rif,0,1.1.1.1.1
91664,Test1080,rif,0,1.1.1.1.1
91716,Test1030,rif,0,1.1.1.1.1
91742,Test1037,rif,0,1.1.1.1.1
91924,Test1086,rif,0,1.1.1.1.1
91937,Test1035,rif,0,1.1.1.1.1
92093,Test1047,rif,0,1.1.1.1.1
92210,Test1069,rif,0,1.1.1.1.1
92223,Test1023,rif,0,1.1.1.1.1
92327,Test1058,rif,0,1.1.1.1.1
92587,Test1025,rif,0,1.1.1.1.1
92652,Test1075,rif,0,1.1.1.1.1
92678,Test1038,rif,0,1.1.1.1.1
92704,Test1060,rif,0,1.1.1.1.1
78729,RI-52-LDC9272_L2_1.fq.sorted,rif,1,1.1.1.1.1
85411,Test1258,rif,0,"1.1.1.1.1,2.2.1.1.1"
85515,Test1257,rif,0,"1.1.1.1.1,2.2.1.1.1"
91469,Test1052,rif,1,"1.1.1.1.1,2.2.1.1.1"
391,SRR1011507,rif,0,1.1.1.2
3368,IonXpress_016_2020_07_14_sample no 2427.sorted,rif,0,1.1.1.2
31409,Sample No 3213249.IonXpress_019.sorted,rif,0,1.1.1.2
32007,3212598.IonXpress_023.sorted,rif,0,1.1.1.2
33242,Sample No 3213637.IonXpress_022.sorted,rif,0,1.1.1.2
40210,TEST0278,rif,0,1.1.1.2
54679,Sample No 321262_IonXpress_017.sorted,rif,0,1.1.1.2
