,ID,Drug,Resistant,Lineage
14639,rename_mycobacterium_tuberculosis_m1418.0.variants,rif,0,1
62297,1733.9086_res,rif,1,1.1
62258,1733.8986_res,rif,1,1.1.1
62986,1733.8968_res,rif,1,1.1.1
64741,1733.8960_res,rif,1,1.1.1
32345,1354155.3_sus,rif,0,"1.1.1,4.9"
34165,1733.11037_sus,rif,0,1.1.1.1
55511,1733.10238_sus,rif,0,1.1.1.1
80887,1479144813357T181915lib5024nextseqn0036151bp,rif,1,1.1.1.1
85463,Test1270,rif,0,1.1.1.1.1
85489,Test1240,rif,0,1.1.1.1.1
85567,Test1265,rif,0,1.1.1.1.1
85671,Test1245,rif,0,1.1.1.1.1
86529,Test1239,rif,0,1.1.1.1.1
91534,Test1042,rif,0,1.1.1.1.1
91573,Test1039,rif,0,1.1.1.1.1
91599,Test1079,rif,0,1.1.1.1.1
91638,Test1032,rif,0,1.1.1.1.1
91677,Test1080,rif,0,1.1.1.1.1
91729,Test1030,rif,0,1.1.1.1.1
91755,Test1037,rif,0,1.1.1.1.1
91937,Test1086,rif,0,1.1.1.1.1
91950,Test1035,rif,0,1.1.1.1.1
92106,Test1047,rif,0,1.1.1.1.1
92223,Test1069,rif,0,1.1.1.1.1
92236,Test1023,rif,0,1.1.1.1.1
92340,Test1058,rif,0,1.1.1.1.1
92600,Test1025,rif,0,1.1.1.1.1
92665,Test1075,rif,0,1.1.1.1.1
92691,Test1038,rif,0,1.1.1.1.1
92717,Test1060,rif,0,1.1.1.1.1
78742,RI-52-LDC9272_L2_1.fq.sorted,rif,1,1.1.1.1.1
85424,Test1258,rif,0,"1.1.1.1.1,2.2.1.1.1"
85528,Test1257,rif,0,"1.1.1.1.1,2.2.1.1.1"
91482,Test1052,rif,1,"1.1.1.1.1,2.2.1.1.1"
391,SRR1011507,rif,0,1.1.1.2
482,Sample No 3211379_IonXpress_021,rif,0,1.1.1.2
3368,IonXpress_016_2020_07_14_sample no 2427.sorted,rif,0,1.1.1.2
31006,Sample No 321528_IonXpress_018,rif,0,1.1.1.2
31370,Sample No 321262_ionXpress_017,rif,0,1.1.1.2
31422,Sample No 3213249.IonXpress_019.sorted,rif,0,1.1.1.2
32020,3212598.IonXpress_023.sorted,rif,0,1.1.1.2
33255,Sample No 3213637.IonXpress_022.sorted,rif,0,1.1.1.2
38065,Sample No 3211380_IonXpress_022,rif,0,1.1.1.2
40223,TEST0278,rif,0,1.1.1.2
