Isolate,Location,Latitude,Longitude,City,State/Region,Country,Continent
snps.filt,"Leipzig, Saxony, DE",51.3566,12.2643,Leipzig,Saxony,Germany,Europe
MFS-30_lib45960,"Stellenbosch, Western Cape, ZA",-33.9346,18.8668,Stellenbosch,Western Cape,South Africa,Africa
MFS-27_lib45957,"Stellenbosch, Western Cape, ZA",-33.9346,18.8668,Stellenbosch,Western Cape,South Africa,Africa
MFS-117_lib47296,"Stellenbosch, Western Cape, ZA",-33.9346,18.8668,Stellenbosch,Western Cape,South Africa,Africa
MFS-171_lib47350,"Stellenbosch, Western Cape, ZA",-33.9346,18.8668,Stellenbosch,Western Cape,South Africa,Africa
MFS-83_lib47262,"Stellenbosch, Western Cape, ZA",-33.9346,18.8668,Stellenbosch,Western Cape,South Africa,Africa
MFS-106_lib47285,"Stellenbosch, Western Cape, ZA",-33.9346,18.8668,Stellenbosch,Western Cape,South Africa,Africa
MFS-4_lib45534,"Stellenbosch, Western Cape, ZA",-33.9346,18.8668,Stellenbosch,Western Cape,South Africa,Africa
MFS-15_lib45945,"Stellenbosch, Western Cape, ZA",-33.9346,18.8668,Stellenbosch,Western Cape,South Africa,Africa
MFS-80_lib47067,"Stellenbosch, Western Cape, ZA",-33.9346,18.8668,Stellenbosch,Western Cape,South Africa,Africa
CS5556-LDJ7634-W1_L3_1.sorted,"Jakarta, Jakarta, ID",-6.2146,106.8451,Jakarta,Jakarta,Indonesia,Asia
Test1422,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1444,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1452,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1424,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1401,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1475,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1449,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1486,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1447,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1442,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1478,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1419,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
