,Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains
0,amk,1.1(1/1),0.0,0,3
1,amk,"1.1(1/1),4(1/1)",0.0,0,1
2,amk,1.1.1.1.1(1/1),0.0,0,28
3,amk,"1.1.1.1.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
4,amk,"1.1.1.1.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
5,amk,1.1.1.2(1/1),0.0,0,55
6,amk,"1.1.1.2(1/1),3.1.1.i1(1/1)",0.0,0,1
7,amk,"1.1.1.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
8,amk,"1.1.1.2.i1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
9,amk,1.1.2,0.0,0,2
10,amk,1.1.2(1/1),2.9940119760479043,5,162
11,amk,"1.1.2(1/1),2.2.1.1.1(1/1)",0.0,0,2
12,amk,"1.1.2(1/1),4(1/1)",0.0,0,1
13,amk,1.2.1.1.1(1/1),0.0,0,29
14,amk,1.2.1.1.2(1/1),0.0,0,7
15,amk,1.2.1.2(1/1),0.0,0,1
16,amk,"1.2.2(1/1),4(1/1)",0.0,0,2
17,amk,"1.2.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
18,amk,1.2.2.1,0.0,0,2
19,amk,1.2.2.1(1/1),0.0,0,72
20,amk,"1.2.2.1(1/1),1.1.2(1/1)",0.0,0,1
21,amk,"1.2.2.1(1/1),2.2.1.1.1(1/1)",0.0,0,1
22,amk,"1.2.2.1(1/1),4(1/1)",0.0,0,1
23,amk,"1.2.2.1(1/1),4.2.1.2.1.1.i3.1(1/1),4.1.i1.1.1.1(1/1),2.2.1.1.1(1/1),4.2.1.2.1.1.i3.2(1/1),4.1.i1.1.2(1/1),1.1.1.2.i1(1/1),3.1.1.i1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
24,amk,1.2.2.2,0.0,0,15
25,amk,1.2.2.2(1/1),0.0,0,4
26,amk,2.1(1/1),20.0,1,4
27,amk,2.2.1,0.0,0,1
28,amk,2.2.1(1/1),0.0,0,2
29,amk,2.2.1.1(1/1),0.0,0,2
30,amk,"2.2.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,3
31,amk,"2.2.1.1(1/1),4.2.2.2.1(1/1)",0.0,0,1
32,amk,2.2.1.1.1,8.695652173913043,2,21
33,amk,2.2.1.1.1(1/1),5.091217649554518,120,2237
34,amk,"2.2.1.1.1(1/1),2.2.1.1.2(1/1)",100.0,1,0
35,amk,"2.2.1.1.1(1/1),3.1.1.i1(1/1)",0.0,0,1
36,amk,"2.2.1.1.1(1/1),4(1/1)",50.0,1,1
37,amk,"2.2.1.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
38,amk,"2.2.1.1.1(1/1),4.2.1.2.1.1(1/1)",0.0,0,1
39,amk,"2.2.1.1.1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,6
40,amk,2.2.1.1.1.i1(1/1),0.0,0,9
41,amk,2.2.1.1.1.i2(1/1),20.0,2,8
42,amk,2.2.1.1.1.i3(1/1),4.263565891472868,33,741
43,amk,2.2.1.1.2,0.0,0,1
44,amk,2.2.1.1.2(1/1),1.3513513513513513,1,73
45,amk,2.2.1.2(1/1),57.142857142857146,4,3
46,amk,"2.2.1.2(1/1),3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
47,amk,2.2.2,80.3921568627451,41,10
48,amk,2.2.2(1/1),43.5,87,113
49,amk,"2.2.2(1/1),3.2.2(1/1)",0.0,0,1
50,amk,"2.2.2,2.2.1.1.1",0.0,0,1
51,amk,3(1/1),0.0,0,3
52,amk,"3(1/1),4(1/1)",0.0,0,1
53,amk,"3(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
54,amk,3.1(1/1),0.0,0,5
55,amk,"3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
56,amk,3.1.1,0.0,0,3
57,amk,3.1.1(1/1),11.023622047244094,28,226
58,amk,"3.1.1(1/1),2.2.1.1.1(1/1)",66.66666666666667,2,1
59,amk,"3.1.1(1/1),4.1.i1.1.1.1(1/1)",0.0,0,1
60,amk,"3.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
61,amk,"3.1.1(1/1),4.2.1.1.1.2.1.1(1/1)",0.0,0,1
62,amk,3.1.1.i1,0.0,0,1
63,amk,3.1.1.i1(1/1),0.0,0,27
64,amk,3.1.1.i2(1/1),4.3478260869565215,2,44
65,amk,3.1.2(1/1),0.0,0,4
66,amk,3.2(1/1),0.0,0,1
67,amk,3.2.1(1/1),0.0,0,2
68,amk,3.2.2(1/1),0.0,0,4
69,amk,4,0.0,0,1
70,amk,4(1/1),4.615384615384615,3,62
71,amk,4.1(1/1),0.0,0,1
72,amk,4.1.i1.1.1(1/1),0.0,0,2
73,amk,4.1.i1.1.1.1,0.0,0,9
74,amk,4.1.i1.1.1.1(1/1),3.2064128256513027,16,483
75,amk,"4.1.i1.1.1.1(1/1),2.2.1.1.1(1/1)",0.0,0,5
76,amk,"4.1.i1.1.1.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,3
77,amk,"4.1.i1.1.1.1(1/1),4.2.1.2.1.1.i4.1(1/1)",0.0,0,3
78,amk,"4.1.i1.1.1.1(1/1),4.2.1.2.2.1(1/1)",0.0,0,1
79,amk,"4.1.i1.1.1.1(1/1),4.2.2.2.1(1/1)",0.0,0,1
80,amk,4.1.i1.1.1.2(1/1),0.0,0,7
81,amk,4.1.i1.1.2(1/1),0.0,0,5
82,amk,4.1.i1.2.1,0.0,0,31
83,amk,4.1.i1.2.1(1/1),7.070707070707071,14,184
84,amk,"4.1.i1.2.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
85,amk,4.1.i1.2.2(1/1),0.0,0,5
86,amk,4.1.i2.1(1/1),0.0,0,21
87,amk,"4.1.i2.1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,1
88,amk,4.1.i2.2(1/1),0.0,0,2
89,amk,4.2.1.1.1.1.1.1.i1,0.0,0,4
90,amk,4.2.1.1.1.1.1.1.i1(1/1),2.1696252465483234,11,496
91,amk,"4.2.1.1.1.1.1.1.i1(1/1),1.2.1.1.1(1/1)",0.0,0,1
92,amk,"4.2.1.1.1.1.1.1.i1(1/1),2.2(1/1)",0.0,0,1
93,amk,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1(1/1)",0.0,0,1
94,amk,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1.1.1(1/1)",0.0,0,1
95,amk,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,7
96,amk,"4.2.1.1.1.1.1.1.i1(1/1),4.1.i1.1.1.1(1/1)",0.0,0,4
97,amk,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
98,amk,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,2
99,amk,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.2.1.1.i4.1(1/1)",0.0,0,2
100,amk,"4.2.1.1.1.1.1.1.i1(1/1),4.2.2(1/1)",0.0,0,1
101,amk,"4.2.1.1.1.1.1.1.i1(1/1),4.2.2.2.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
102,amk,4.2.1.1.1.1.1.1.i2,0.0,0,13
103,amk,4.2.1.1.1.1.1.1.i2(1/1),3.3333333333333335,3,87
104,amk,4.2.1.1.1.1.1.2(1/1),0.0,0,1
105,amk,4.2.1.1.1.1.2(1/1),5.555555555555555,2,34
106,amk,4.2.1.1.1.2.1.1.1.1.1(1/1),0.0,0,21
107,amk,4.2.1.1.1.2.1.1.1.1.2(1/1),10.0,1,9
108,amk,4.2.1.1.1.2.1.1.2(1/1),0.0,0,29
109,amk,4.2.1.1.1.2.1.2(1/1),0.0,0,2
110,amk,"4.2.1.1.1.2.2(1/1),3.1.1.i1(1/1)",0.0,0,1
111,amk,4.2.1.1.1.2.2.1.1.1.1(1/1),0.0,0,8
112,amk,4.2.1.1.1.2.2.1.1.1.2(1/1),0.0,0,8
113,amk,"4.2.1.1.1.2.2.1.1.1.2(1/1),4.2.1.1.1.2.2.1.2(1/1),1.1.1.2.i1(1/1),3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
114,amk,4.2.1.1.1.2.2.1.1.2(1/1),0.0,0,3
115,amk,4.2.1.1.1.2.2.1.2(1/1),12.5,1,7
