IP,DateTime,submission_command,submission_url,os,num_1,num_2
10.120.33.133,04/Mar/2021:14:12:37,GET /predict/upload/ HTTP/1.1,https://gentb.hms.harvard.edu/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36",302,0
10.120.33.133,04/Mar/2021:14:12:37,GET /user/login/?next=/predict/upload/ HTTP/1.1,https://gentb.hms.harvard.edu/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36",200,6035
10.120.33.133,04/Mar/2021:14:12:39,GET /data/ HTTP/1.1,https://gentb.hms.harvard.edu/user/login/?next=/predict/upload/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36",200,6493
10.120.33.192,04/Mar/2021:14:32:24,GET /predict/upload/ HTTP/1.1,https://gentb.hms.harvard.edu/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",200,8627
10.120.33.133,04/Mar/2021:14:32:26,GET /index.html HTTP/1.1,https://gentb.hms.harvard.edu/predict/upload/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",404,6174
10.120.33.133,04/Mar/2021:14:32:43,GET /predict/upload/ HTTP/1.1,https://gentb.hms.harvard.edu/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36",200,8633
10.120.33.133,04/Mar/2021:14:32:46,GET /data/ HTTP/1.1,https://gentb.hms.harvard.edu/predict/upload/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36",200,7493
10.120.33.133,04/Mar/2021:15:19:37,GET /predict/upload/ HTTP/1.1,https://gentb.hms.harvard.edu/explore/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",200,8627
10.120.33.192,04/Mar/2021:15:19:39,GET /index.html HTTP/1.1,https://gentb.hms.harvard.edu/predict/upload/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",404,6174
10.120.33.133,04/Mar/2021:16:10:29,GET /index.html HTTP/1.1,https://gentb.hms.harvard.edu/predict/upload/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",404,6174
10.120.33.192,04/Mar/2021:17:56:54,GET /predict/upload/ HTTP/1.1,https://gentb.hms.harvard.edu/data/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",200,8627
10.120.33.133,04/Mar/2021:17:57:08,GET /predict/ HTTP/1.1,https://gentb.hms.harvard.edu/predict/upload/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",200,80186
10.120.33.133,05/Mar/2021:05:25:51,GET /user/login/?next=/predict/upload/ HTTP/1.1,-,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),200,6035
10.120.33.192,05/Mar/2021:08:23:54,GET /predict/upload/ HTTP/1.1,https://gentb.hms.harvard.edu/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",200,8647
10.120.33.192,05/Mar/2021:09:08:46,GET /predict/upload/ HTTP/1.1,https://gentb.hms.harvard.edu/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",200,8647
10.120.33.133,05/Mar/2021:09:08:48,GET /predict/upload/fastq-pair/ HTTP/1.1,https://gentb.hms.harvard.edu/predict/upload/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",200,11667
10.120.33.192,05/Mar/2021:10:01:15,GET /predict/upload/ HTTP/1.1,https://gentb.hms.harvard.edu/data/info/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0,200,8130
10.120.33.192,05/Mar/2021:10:04:19,GET /predict/upload/ HTTP/1.1,https://gentb.hms.harvard.edu/data/info/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0,200,8130
10.120.33.133,05/Mar/2021:10:04:22,GET /data/ HTTP/1.1,https://gentb.hms.harvard.edu/predict/upload/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0,200,7077
10.120.33.192,05/Mar/2021:11:50:18,GET /predict/upload/ HTTP/1.1,https://gentb.hms.harvard.edu/data/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",200,8127
