Isolate,Lineage,Resistant,WHO-Identified,High_Confidence,Low_Confidence
rename_mycobacterium_tuberculosis_m1418.0.variants,1,0,1,0,1
1733.9086_res,1.1,1,0,0,0
1733.8986_res,1.1.1,1,0,0,0
1733.8968_res,1.1.1,1,0,0,0
1733.8960_res,1.1.1,1,1,0,1
1354155.3_sus,"1.1.1,4.9",0,0,0,0
1733.11037_sus,1.1.1.1,0,0,0,0
1733.10238_sus,1.1.1.1,0,0,0,0
1479144813357T181915lib5024nextseqn0036151bp,1.1.1.1,1,0,0,0
Test1270,1.1.1.1.1,0,0,0,0
Test1240,1.1.1.1.1,0,0,0,0
Test1265,1.1.1.1.1,0,0,0,0
Test1245,1.1.1.1.1,0,0,0,0
Test1239,1.1.1.1.1,0,0,0,0
Test1042,1.1.1.1.1,0,0,0,0
Test1039,1.1.1.1.1,0,0,0,0
Test1079,1.1.1.1.1,0,0,0,0
Test1032,1.1.1.1.1,0,0,0,0
Test1080,1.1.1.1.1,0,1,0,1
Test1030,1.1.1.1.1,0,0,0,0
Test1037,1.1.1.1.1,0,0,0,0
Test1086,1.1.1.1.1,0,0,0,0
Test1035,1.1.1.1.1,0,0,0,0
Test1047,1.1.1.1.1,0,0,0,0
Test1069,1.1.1.1.1,0,0,0,0
Test1023,1.1.1.1.1,0,0,0,0
Test1058,1.1.1.1.1,0,0,0,0
Test1025,1.1.1.1.1,0,0,0,0
Test1075,1.1.1.1.1,0,0,0,0
Test1038,1.1.1.1.1,0,0,0,0
Test1060,1.1.1.1.1,0,0,0,0
RI-52-LDC9272_L2_1.fq.sorted,1.1.1.1.1,1,1,1,0
Test1258,"1.1.1.1.1,2.2.1.1.1",0,0,0,0
Test1257,"1.1.1.1.1,2.2.1.1.1",0,0,0,0
Test1052,"1.1.1.1.1,2.2.1.1.1",1,0,0,0
SRR1011507,1.1.1.2,0,0,0,0
Sample No 3211379_IonXpress_021,1.1.1.2,0,0,0,0
IonXpress_016_2020_07_14_sample no 2427.sorted,1.1.1.2,0,0,0,0
Sample No 321528_IonXpress_018,1.1.1.2,0,0,0,0
Sample No 321262_ionXpress_017,1.1.1.2,0,0,0,0
Sample No 3213249.IonXpress_019.sorted,1.1.1.2,0,0,0,0
3212598.IonXpress_023.sorted,1.1.1.2,0,0,0,0
Sample No 3213637.IonXpress_022.sorted,1.1.1.2,0,0,0,0
Sample No 3211380_IonXpress_022,1.1.1.2,0,0,0,0
TEST0278,1.1.1.2,0,0,0,0
Sample No 3211198_IonXpress_020,1.1.1.2,0,0,0,0
Sample No 321262_IonXpress_017.sorted,1.1.1.2,0,0,0,0
Sample No 3211517.IonXpress_020.sorted,1.1.1.2,0,0,0,0
Sample No 321769_IonXpress_019,1.1.1.2,0,0,0,0
SAmple No 3213118.IonXpress_027.sorted,1.1.1.2,0,0,0,0
Test278,1.1.1.2,0,0,0,0
Sample No 3211856.IonXpress_025.sorted,1.1.1.2,0,0,0,0
Sample No 3211392.IonXpress_018.sorted,1.1.1.2,0,0,0,0
Sample No 3213642.IonXpress_030 (1).sorted,1.1.1.2,0,0,0,0
Sample no 3211956.IonXpress_026.sorted,1.1.1.2,0,0,0,0
SAmple No 3211453.IonXpress_019.sorted,1.1.1.2,0,0,0,0
Test355,1.1.1.2,0,0,0,0
Test354,1.1.1.2,0,0,0,0
Test1010,1.1.1.2,0,1,1,0
CS5523-LDJ7596-W1_L3_1.fq.sorted,1.1.1.2,1,0,0,0
Sample No 3212598.IonXpress_023.sorted,"1.1.1.2,4.2.1.1.1.1.1.1.i2",0,0,0,0
An-1.R1.sorted,"1.1.1.2.i1,2.2.1.1.1.i3",0,0,0,0
3213123_IonXpress_027,1.1.2,0,0,0,0
IonXpress_002_2020_10_11_sample No 2162.sorted,1.1.2,0,0,0,0
WGS_TB_09-06-2020_sample no 2311.sorted,1.1.2,0,0,0,0
KP102,1.1.2,0,0,0,0
WGS_TB_12-07-2020_sample no 2453.sorted,1.1.2,0,1,0,1
KP154,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h2438.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1012.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1022.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h1580.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m995.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1233.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1023.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1030.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1021.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h3986.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1215.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1004.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1024.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m990.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h3361.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1007.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h1996.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1272.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h1589.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h3005.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1236.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1008.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1010.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h2463.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1300.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1009.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1304.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1232.0.variants,1.1.2,0,0,0,0
