Isolate,total,rif,inh,emb,pza,str,cap,amk,cip,kan,levo,oflx,pas,eth,unknown
rename_mycobacterium_tuberculosis_m1418.0.variants,5,0,0,0,0,1,0,0,0,0,0,0,0,1,3
1733.9086_res,14,1,0,3,1,4,1,1,0,1,0,0,0,0,2
1733.8986_res,14,1,2,2,1,2,0,0,0,0,0,0,0,0,6
1733.8968_res,13,1,1,3,1,1,0,0,0,0,1,0,0,0,5
1733.8960_res,13,1,1,3,0,2,0,0,0,0,1,0,0,1,4
1354155.3_sus,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1733.11037_sus,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
1733.10238_sus,7,0,0,0,0,1,0,0,0,0,1,0,0,0,5
1479144813357T181915lib5024nextseqn0036151bp,21,1,0,6,0,2,0,0,0,0,3,0,0,0,9
Test1270,8,0,2,0,0,2,1,1,0,1,0,0,0,0,1
Test1240,9,0,0,1,0,1,0,0,0,0,0,0,0,0,7
Test1265,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Test1245,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Test1239,9,0,1,0,0,2,0,0,0,0,0,0,0,0,6
Test1042,8,0,1,1,0,2,1,1,0,1,0,0,0,0,1
Test1039,6,0,0,0,0,1,0,0,0,0,0,0,0,0,5
Test1079,7,0,0,0,0,1,0,0,0,0,0,0,0,0,6
Test1032,6,0,0,0,0,1,0,0,0,0,0,0,0,0,5
Test1080,12,0,2,1,0,2,1,1,0,1,0,0,0,1,3
Test1030,9,0,1,1,0,1,0,0,0,0,1,0,0,0,5
Test1037,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Test1086,6,0,0,0,2,1,0,0,0,0,0,0,0,0,3
Test1035,7,0,0,0,0,1,0,0,0,0,0,0,0,0,6
Test1047,6,0,0,0,0,1,0,0,0,0,0,0,0,0,5
Test1069,7,0,0,0,0,1,0,0,0,0,1,0,0,0,5
Test1023,8,0,0,0,0,1,0,0,0,0,0,0,0,0,7
Test1058,7,0,0,0,0,2,0,0,0,0,1,0,0,0,4
Test1025,6,0,0,1,0,1,0,0,0,0,0,0,0,0,4
Test1075,9,0,0,1,0,1,0,1,0,1,0,0,0,0,5
Test1038,10,0,0,0,0,1,0,0,0,0,0,0,0,0,9
Test1060,6,0,0,0,0,2,0,0,0,0,0,0,0,0,4
RI-52-LDC9272_L2_1.fq.sorted,13,2,1,2,0,1,0,0,0,0,0,0,0,1,6
Test1258,7,0,1,0,0,2,0,0,0,0,0,0,0,0,4
Test1257,10,0,0,0,0,3,1,1,0,1,0,0,0,0,4
Test1052,10,1,1,1,0,3,0,0,0,0,0,0,0,0,4
SRR1011507,5,0,0,0,1,1,0,0,0,0,0,0,0,0,3
Sample No 3211379_IonXpress_021,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
IonXpress_016_2020_07_14_sample no 2427.sorted,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2
Sample No 321528_IonXpress_018,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Sample No 321262_ionXpress_017,6,0,0,1,0,1,0,0,0,0,0,0,0,0,4
Sample No 3213249.IonXpress_019.sorted,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3212598.IonXpress_023.sorted,6,0,0,0,0,1,0,0,0,0,0,0,0,0,5
Sample No 3213637.IonXpress_022.sorted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample No 3211380_IonXpress_022,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
TEST0278,6,0,0,0,1,2,0,0,0,0,0,0,0,0,3
Sample No 3211198_IonXpress_020,6,0,0,0,0,1,0,0,0,0,1,0,0,0,4
Sample No 321262_IonXpress_017.sorted,6,0,0,1,0,1,0,0,0,0,0,0,0,0,4
Sample No 3211517.IonXpress_020.sorted,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Sample No 321769_IonXpress_019,7,0,1,1,0,2,0,0,0,0,0,0,0,0,3
SAmple No 3213118.IonXpress_027.sorted,7,0,0,0,0,1,0,0,0,0,0,0,0,0,6
Test278,5,0,0,0,0,2,0,0,0,0,0,0,0,0,3
Sample No 3211856.IonXpress_025.sorted,11,0,0,0,0,1,0,0,0,0,0,0,0,0,10
Sample No 3211392.IonXpress_018.sorted,5,0,0,0,0,1,0,0,0,0,1,0,0,0,3
Sample No 3213642.IonXpress_030 (1).sorted,6,0,0,0,0,1,0,0,0,0,0,0,0,0,5
Sample no 3211956.IonXpress_026.sorted,5,1,0,0,0,1,0,0,0,0,0,0,0,0,3
SAmple No 3211453.IonXpress_019.sorted,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Test355,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Test354,5,0,0,0,0,2,0,0,0,0,0,0,0,0,3
Test1010,7,0,1,0,0,1,0,0,0,0,0,0,0,1,4
CS5523-LDJ7596-W1_L3_1.fq.sorted,7,2,0,1,0,1,0,0,0,0,1,0,0,0,2
Sample No 3212598.IonXpress_023.sorted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An-1.R1.sorted,2,0,0,0,0,2,1,1,0,1,0,0,0,0,-3
3213123_IonXpress_027,5,0,0,0,0,3,0,0,0,0,0,0,0,0,2
IonXpress_002_2020_10_11_sample No 2162.sorted,5,0,0,1,0,1,0,0,0,0,0,0,0,0,3
WGS_TB_09-06-2020_sample no 2311.sorted,7,0,0,0,0,1,0,1,0,1,0,0,0,0,4
KP102,9,0,1,3,1,2,0,0,0,0,0,0,0,0,2
WGS_TB_12-07-2020_sample no 2453.sorted,8,0,0,1,0,1,0,0,0,0,0,0,0,1,5
KP154,5,0,0,0,1,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_h2438.0.variants,5,0,1,0,0,2,1,1,0,1,0,0,0,0,-1
rename_mycobacterium_tuberculosis_m1012.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1022.0.variants,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_h1580.0.variants,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
rename_mycobacterium_tuberculosis_m995.0.variants,6,1,0,1,0,1,0,0,0,0,0,0,0,1,2
rename_mycobacterium_tuberculosis_m1233.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1023.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1030.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,1,2
rename_mycobacterium_tuberculosis_m1021.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_h3986.0.variants,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
rename_mycobacterium_tuberculosis_m1215.0.variants,6,1,0,1,0,1,0,0,0,0,0,0,0,1,2
rename_mycobacterium_tuberculosis_m1004.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1024.0.variants,6,0,1,0,0,1,0,0,0,0,0,0,0,0,4
rename_mycobacterium_tuberculosis_m990.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_h3361.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1007.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_h1996.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1272.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_h1589.0.variants,4,0,1,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_h3005.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_m1236.0.variants,5,0,0,0,0,2,1,1,0,1,0,0,0,0,0
rename_mycobacterium_tuberculosis_m1008.0.variants,4,0,1,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1010.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_h2463.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1300.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_m1009.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1304.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1232.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_m1273.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_h1578.0.variants,6,0,0,0,0,1,0,0,0,0,0,0,0,0,5
rename_mycobacterium_tuberculosis_h2375.0.variants,5,0,1,0,0,1,0,0,0,0,0,0,0,1,2
rename_mycobacterium_tuberculosis_m13.0.variants,8,0,1,1,0,2,0,0,0,0,0,0,0,0,4
rename_mycobacterium_tuberculosis_m1295.0.variants,6,1,0,1,0,1,0,0,0,0,0,0,0,1,2
rename_mycobacterium_tuberculosis_m991.0.variants,7,1,1,1,0,1,0,0,0,0,0,0,0,1,2
rename_mycobacterium_tuberculosis_m1288.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1213.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_m1025.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m992.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_h2264.0.variants,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m987.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
