,Isolate,AMIKACIN,CAPREOMYCIN,CIPROFLOXACIN,ETHAMBUTOL,ETHIONAMIDE,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PYRAZINAMIDE,RIFAMPICIN,STREPTOMYCIN
0,00R0025,R,S,,R,R,R,R,,S,,S,R,R
1,00R0086,R,R,,R,R,R,R,,S,,R,R,R
2,00R0178,R,R,,R,R,R,R,,R,,R,R,R
3,00R0223,,,,S,,S,S,,,,,S,S
4,00R0312,,R,,R,,R,R,,,,,R,R
5,00R0435,S,,,R,R,R,S,,S,,R,R,R
6,00R0453,,R,,R,,R,R,,R,,,R,R
7,00R1399,R,R,,R,R,R,R,,S,,R,R,R
8,00R1549,R,R,,R,R,R,R,,S,,S,R,R
9,00R1566,,R,,R,R,R,R,S,S,S,R,R,R
10,01R0153,R,R,,R,R,R,R,,R,,R,R,R
11,01R0166,,,,R,R,R,S,,S,,R,R,S
12,01R0238,S,,,S,S,R,S,,S,S,S,R,S
13,01R0239,R,R,,R,S,R,R,R,R,S,S,R,S
14,01R0244,,R,,R,R,R,S,R,R,,R,R,R
15,01R0276,S,S,,R,S,R,S,R,S,S,R,R,R
16,01R0451,,,,R,,R,R,,,,R,R,R
17,01R0647,R,R,,S,R,R,R,S,S,S,R,R,R
18,01R0685,R,R,,R,S,R,R,R,R,S,S,R,R
19,01R0697,R,R,,R,,R,R,R,R,S,R,R,R
20,01R0774,R,R,,R,S,R,R,R,S,S,R,R,R
21,01R0878,,R,,R,,R,S,S,S,S,R,R,R
22,01R0880,S,S,,R,S,R,S,S,S,S,S,R,S
23,01R0897,,,,R,,R,S,S,S,S,S,R,R
24,01R0899,S,S,,R,S,R,S,S,S,S,R,R,R
25,01R0902,S,S,,R,S,R,S,R,S,S,R,R,S
26,01R0903,R,R,,R,R,R,R,R,R,S,R,R,R
27,01R0904,S,S,,R,R,R,S,S,S,S,R,R,S
28,01R0908,S,S,,R,S,R,S,S,S,S,R,R,S
29,01R0909,S,S,,R,S,R,S,S,S,S,R,R,R
30,01R1018,S,S,,R,S,R,S,S,R,S,R,R,R
31,01R1241,,R,,R,R,R,R,R,R,,S,R,R
32,01R1305,S,S,,R,S,R,S,R,S,S,R,R,S
33,01R1309,S,S,,R,R,R,S,R,R,S,R,R,S
34,01R1321,R,R,,R,S,R,R,R,R,S,R,R,R
35,01R1339,R,,,S,,R,R,R,R,S,R,R,R
36,01R1341,R,R,,R,R,R,R,R,R,,R,R,R
37,01R1386,S,S,,R,R,R,S,R,S,S,S,R,S
38,01R1387,S,S,,R,R,R,S,R,S,S,R,R,R
39,01R1466,,S,,R,R,R,S,,R,R,S,R,S
40,01R1468,,,,R,,R,R,,,,R,R,S
41,01R1499,R,R,,R,R,R,R,R,R,S,,R,R
42,01R1505,S,S,,R,S,R,S,R,R,S,R,R,R
43,01R1540,R,,,S,R,R,R,R,R,S,R,R,R
44,01R1559,S,S,,R,S,R,S,R,R,S,S,R,R
45,01R1599,S,S,,R,R,R,S,R,R,S,R,R,S
46,209397,,,,S,,S,S,,,,,S,S
47,209688,,,,S,,S,S,,,,,S,S
48,209856,,,,S,,S,S,,,,,S,S
49,209928,,,,S,,S,S,,,,,S,S
50,210028,,,,S,,S,S,,,,,S,S
51,210075,,,,S,,S,S,,,,,S,S
52,210098,,,,S,,S,S,,,,,S,R
53,02R0016,R,R,,R,S,R,R,S,S,S,R,R,R
54,02R0099,S,S,,R,S,R,S,,S,,S,R,R
55,02R0119,S,S,,R,S,R,S,S,S,S,R,R,S
56,02R0191,R,R,,R,R,R,R,R,R,R,R,R,R
57,02R0236,S,,,S,,R,S,S,S,,R,R,R
58,02R0237,S,S,,R,R,R,S,S,S,S,,R,S
59,02R0241,R,R,,R,R,R,R,R,R,S,S,R,R
60,02R0272,,R,,R,R,R,R,,R,S,S,R,R
61,02R0286,S,,,S,,R,S,S,S,S,S,R,S
62,02R0325,R,R,,R,S,R,R,S,S,S,S,R,R
63,02R0328,R,R,,R,R,R,R,R,R,S,R,R,R
64,02R0360,S,,,R,R,R,S,S,,S,S,R,R
65,02R0407,,,,S,,S,S,,,,S,S,S
66,02R0417,S,S,,R,R,R,S,R,R,S,R,R,S
67,02R0754,,S,,S,S,R,S,,S,S,R,R,S
68,02R0793,R,R,,R,R,R,R,R,R,R,R,R,S
69,02R0812,S,R,,R,R,R,S,S,,S,R,R,R
70,02R0848,S,S,,S,S,R,S,S,,S,R,R,R
71,02R0861,S,S,,R,R,R,S,R,R,R,R,R,S
72,02R0890,,,,S,R,R,S,,,,S,S,S
73,02R0911,,S,,R,R,R,S,,S,S,R,R,S
74,02R0951,S,S,,R,S,R,S,R,R,S,S,R,S
75,02R0971,,S,,R,S,R,S,,R,R,S,R,R
76,02R1076,,,,S,,S,S,,,,S,S,R
77,02R1101,,,,S,,S,S,,,,S,S,S
78,02R1106,,,,S,,S,S,,,,S,S,S
