Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains,No Results
amk,1,0.0,0,1,2
amk,"1,2.2.1",0.0,0,0,1
amk,1.1,0.0,0,0,1
amk,1.1.1,0.0,0,2,34
amk,1.1.1.1,0.0,0,2,18
amk,1.1.2,0.0,0,2,270
amk,"1.1.2,1.2.2",0.0,0,0,1
amk,"1.1.2,3",0.0,0,0,2
amk,"1.1.2,4",0.0,0,0,6
amk,"1.1.2,4.3.2.1",0.0,0,0,1
amk,"1.1.2,4.4",0.0,0,0,1
amk,1.1.3,0.0,0,2,308
amk,"1.1.3,1.1.2",0.0,0,0,3
amk,"1.1.3,2.2.1.2",0.0,0,0,1
amk,"1.1.3,3",0.0,0,0,1
amk,"1.1.3,4.1.1.1",0.0,0,0,1
amk,"1.1.3,4.5",0.0,0,0,1
amk,1.2.1,0.0,0,6,269
amk,1.2.2,0.0,0,16,233
amk,"1.2.2,3.1.2",0.0,0,0,1
amk,2,0.0,0,1,0
amk,"2,4.3.2.1",0.0,0,1,0
amk,2.1,0.0,0,1,18
amk,"2.2,3",0.0,0,0,1
amk,"2.2,4.3.2.1",0.0,0,0,1
amk,2.2.1,1.7632241813602014,28,383,1177
amk,"2.2.1,1.2.2",0.0,0,0,1
amk,"2.2.1,3",0.0,0,1,1
amk,"2.2.1,4",0.0,0,1,2
amk,"2.2.1,4.1.1.1",0.0,0,0,1
amk,"2.2.1,4.1.1.3",0.0,0,0,1
amk,"2.2.1,4.3.2.1",0.0,0,0,1
amk,"2.2.1,4.3.4.2",0.0,0,0,1
amk,"2.2.1,4.8",0.0,0,0,2
amk,"2.2.1,6,BOV_AFRI",0.0,0,0,1
amk,"2.2.1,BOV_AFRI",0.0,0,0,1
amk,2.2.1.1,0.0,0,47,124
amk,2.2.1.2,0.0,0,0,24
amk,2.2.2,11.11111111111111,14,19,93
amk,3,0.0,0,29,1230
amk,"3,4",0.0,0,0,1
amk,3.1.1,0.0,0,22,116
amk,3.1.2,0.0,0,3,73
amk,3.1.2.1,0.0,0,1,48
amk,3.1.2.2,0.0,0,0,17
amk,"3.1.2.2,1.1.1",0.0,0,0,1
amk,4,2.0833333333333335,1,4,43
amk,4.1,0.0,0,12,50
amk,"4.1,1.2.2",0.0,0,0,1
amk,"4.1,2.2.1,4.8",0.0,0,0,1
amk,4.1.1,0.0,0,14,31
amk,4.1.1.1,0.0,0,28,146
amk,"4.1.1.1,2.2",0.0,0,0,1
amk,4.1.1.2,0.0,0,6,40
amk,4.1.1.3,0.3508771929824561,1,77,207
amk,4.1.2,0.0,0,34,78
amk,"4.1.2,1.2.2",0.0,0,0,1
amk,"4.1.2,4.2.2",0.0,0,1,0
amk,4.1.2.1,0.3007518796992481,2,72,591
amk,"4.1.2.1,2.2.1",33.333333333333336,1,0,2
amk,"4.1.2.1,3",0.0,0,0,1
amk,"4.1.2.1,4.4.1",0.0,0,0,1
amk,"4.1.2.1,4.7",0.0,0,0,1
amk,4.2.1,0.0,0,2,159
amk,"4.2.1,4.7",0.0,0,0,1
amk,4.2.2,0.0,0,3,99
amk,4.2.2.1,0.0,0,1,26
amk,4.3,0.0,0,0,4
amk,"4.3,2.2.1",0.0,0,0,1
amk,4.3.1,2.6315789473684212,1,0,37
amk,4.3.2,0.0,0,13,65
amk,4.3.2.1,0.6666666666666666,2,174,124
amk,"4.3.2.1,4.3.4",0.0,0,1,0
amk,4.3.3,0.273972602739726,1,66,298
amk,"4.3.3,1.1.3",0.0,0,0,1
amk,"4.3.3,2.2.1",50.0,1,0,1
amk,"4.3.3,3.1.1",0.0,0,0,1
amk,"4.3.3,4.1.1",0.0,0,1,0
amk,"4.3.3,4.1.2",0.0,0,1,2
amk,"4.3.3,4.3.2.1",50.0,1,0,1
amk,4.3.4,0.0,0,0,2
amk,4.3.4.1,0.0,0,11,49
amk,4.3.4.2,0.0,0,13,117
amk,"4.3.4.2,3.1.2.1",0.0,0,1,0
amk,4.3.4.2.1,0.0,0,56,71
amk,"4.3.4.2.1,1.1.2",0.0,0,0,1
amk,4.4,0.0,0,1,7
amk,4.4.1.1,0.0,0,133,243
amk,"4.4.1.1,3",0.0,0,2,0
amk,"4.4.1.1,4.1.2",0.0,0,2,2
amk,"4.4.1.1,4.3.3",0.0,0,1,0
amk,"4.4.1.1,4.3.4.2.1",0.0,0,1,2
amk,"4.4.1.1,4.6.1.2",0.0,0,1,0
amk,4.4.1.2,0.0,0,0,90
amk,4.4.2,0.0,0,5,18
amk,4.5,0.0,0,4,86
amk,"4.5,1.1.2",0.0,0,0,1
amk,"4.5,1.2.1",0.0,0,0,2
amk,4.6,0.0,0,0,9
amk,4.6.1.1,0.0,0,6,5
amk,4.6.1.2,0.0,0,7,12
amk,4.6.2,0.0,0,0,28
amk,4.6.2.1,0.0,0,0,8
amk,4.6.2.2,0.0,0,2,65
amk,4.7,0.0,0,9,57
amk,4.8,0.18518518518518517,1,96,443
amk,"4.8,4.1.1.3",0.0,0,0,2
amk,"4.8,4.3.4.1",0.0,0,0,2
amk,4.9,0.0,0,33,102
amk,5,0.0,0,0,15
amk,"5,6,BOV_AFRI",0.0,0,0,1
amk,6,0.0,0,0,2
amk,"6,BOV_AFRI",0.0,0,5,31
amk,BOV_AFRI,0.0,0,2,83
cap,1,0.0,0,1,2
cap,"1,2.2.1",0.0,0,0,1
cap,1.1,0.0,0,0,1
cap,1.1.1,0.0,0,2,34
cap,1.1.1.1,0.0,0,2,18
cap,1.1.2,0.0,0,21,251
cap,"1.1.2,1.2.2",0.0,0,0,1
cap,"1.1.2,3",0.0,0,2,0
cap,"1.1.2,4",0.0,0,4,2
cap,"1.1.2,4.3.2.1",0.0,0,0,1
cap,"1.1.2,4.4",0.0,0,0,1
cap,1.1.3,0.0,0,4,306
cap,"1.1.3,1.1.2",0.0,0,0,3
cap,"1.1.3,2.2.1.2",0.0,0,0,1
cap,"1.1.3,3",0.0,0,0,1
cap,"1.1.3,4.1.1.1",0.0,0,0,1
cap,"1.1.3,4.5",0.0,0,0,1
cap,1.2.1,0.0,0,6,269
cap,1.2.2,0.8032128514056225,2,15,232
cap,"1.2.2,3.1.2",0.0,0,0,1
cap,2,0.0,0,0,1
cap,"2,4.3.2.1",0.0,0,1,0
cap,2.1,0.0,0,1,18
cap,"2.2,3",0.0,0,0,1
cap,"2.2,4.3.2.1",0.0,0,0,1
cap,2.2.1,0.9445843828715366,15,400,1173
cap,"2.2.1,1.2.2",0.0,0,0,1
cap,"2.2.1,3",0.0,0,0,2
cap,"2.2.1,4",0.0,0,1,2
cap,"2.2.1,4.1.1.1",0.0,0,0,1
cap,"2.2.1,4.1.1.3",0.0,0,0,1
cap,"2.2.1,4.3.2.1",0.0,0,0,1
cap,"2.2.1,4.3.4.2",0.0,0,0,1
cap,"2.2.1,4.8",0.0,0,0,2
cap,"2.2.1,6,BOV_AFRI",0.0,0,0,1
cap,"2.2.1,BOV_AFRI",0.0,0,0,1
cap,2.2.1.1,0.0,0,51,120
cap,2.2.1.2,0.0,0,0,24
cap,2.2.2,2.380952380952381,3,15,108
cap,3,0.3971405877680699,5,137,1117
cap,"3,4",0.0,0,0,1
cap,3.1.1,0.0,0,21,117
cap,3.1.2,0.0,0,6,70
cap,3.1.2.1,0.0,0,3,46
cap,3.1.2.2,0.0,0,0,17
cap,"3.1.2.2,1.1.1",0.0,0,0,1
cap,4,0.0,0,3,45
cap,4.1,0.0,0,12,50
cap,"4.1,1.2.2",0.0,0,0,1
cap,"4.1,2.2.1,4.8",0.0,0,0,1
cap,4.1.1,0.0,0,14,31
cap,4.1.1.1,0.0,0,31,143
